DRUGID,TARGETID,DRUGNAME
D0L6HU,T16601,CAR-T Cells targeting CEA
D06URX,T18779,CAR-T Cells targeting MUCI
D0L7OJ,T87108,CAR-T Cells targeting Mesothelin
D0MD8S,T87108,CARTmeso/19
D0ZQ6N,T64969,CAR-T Cells targeting EGFRvIII
D0YU0L,T46208,GPA-TriMAR-T cells
D0V9MT,T18477,PU-AD
D02RPO,T15000,BMS-986249
D01FSX,T40474,REGN5093
DN2F9A,T93923,AMG 506
DA02DE,T67849,BGB-10188
DBZ87Q,T92124,BGB-A445
D05CBJ,T95913,PA-799
D04WHM,T18779,G0-203-2c
D02WLS,T78114,Onyvax-105
D05TPI,T88537,EPICATECHIN
D0B4MK,T86803,ISIS-STAT3
D08RJY,T64969,Anti-EGFRvIII CAR transduced PBL
D0I5GS,T88023,CAR.CD30 cells
D05PZI,T73215,MB-CART20.1
D0S4GT,T71164,CAR-T cells targeting GD2
D03UNT,T56365,Anti-CD19-CAR vector-transduced T cells
D08BPS,T56365,JCAR017
D00YXG,T87108,Anti-mesothelin CAR transduced PBL
D05CSS,T18779,CAR-T cells targeting MucI
D0U0BN,T56365,JCAR014
D0FF0N,T56365,TBI-1501
D02AIZ,T63414,BIL010t
D09RYU,T65755,Tractinostat
D08ANJ,T95241,AP-30663
D0FI1L,T95241,CAD-1883
DM5X0L,T25265,SHR2554
DE2Z7V,T65019,BT1718
D02BLD,T69707,Oprozomib
D0T0ZW,T47768,ALKS33
D03XTY,T15739,APR-246
D0N1SH,T05409,VX-15
D04MCY,T56915,BMS 650032
D0KY7S,T15803,ISIS-FXI
D0LF1U,T44458,Flavopiridol
D0RL4X,T61722,AP-761
D0X9VR,T82383,BGB-324
D0EJ7U,T59045,CPP-115
D0C8NG,T45758,BI 655064
D03SHD,T87024,Myo-inositol
D00SUK,T36059,Tonapofylline
D0TL7L,T28330,Dexloxiglumide
D09WKM,T97111,BI-836826
D04MGW,T38950,BI-836858
D0SL8T,T41515,ISIS-FGFR4
D0F8XK,T30687,ISIS-GCCR
D04WIF,T87875,ISIS-GCGR
D0L8IO,T16691,AVN 322
D05KBU,T62905,Gabapentin enacarbil
D06WRF,T43415,KD019
D0M5VV,T62974,177Lu-DOTATATE
D0G4IW,T56365,CART-19
D0I0NJ,T56365,CART-19 cells
D0RA1R,T56365,CD19-targeting CAR T cells
D06TKR,T56365,CART 19
D07UKT,T36741,ALRN-6924
D0JW6R,T02469,LAM-002
D01UAU,T62460,CTP-543
D0YO4B,T74002,Cabiralizumab
D0VB4X,T25307,VTP-43742
D08NZG,T28413,Ifabotuzumab
D03RXS,T33124,TAK-831
D0A6CC,T59328,Depatuxizumab
D0FN4T,T59328,RM-1929
D07CUR,T66693,Bb2121
D08KTO,T84160,AD04
D06FUE,T86350,CDX-3379
D9YG4P,T13348,APX3330
DB6XD8,T15803,BMS-986177
DZM65T,T17687,ICP-192
DNM79H,T25265,DS-3201b
D4M8RS,T72545,TNP-2092
DXM30Y,T22995,LJPC-401
DS70MP,T23714,DM199
DE09IO,T67079,BNZ-1
DX56JK,T51426,MET409
DMEV15,T96721,Dilpacimab
DMF73Z,T56697,DKN-01
DQM48O,T76233,RO7121661
DLV0Z8,T60182,REMD 477
DI57MF,T71164,Nivatrotamab
D4USX5,T70977,9-ING-41
DNS58L,T79232,SRX246
DN3Z5D,T80975,L-DOS47
DA8W3Q,T82739,THR-149
DQ9OL5,T86836,OBI-3424
DG68CL,T87166,TTP399
DNET17,T16802,GSK3810109
DHB2K8,T29036,OLX10010
DRT2P7,T31072,GEN-1
D90UZW,T31072,Ad-RTS-hIL-12
D3X2TH,T32984,TPI-287
DR7EV6,T65941,ARO-AAT
D1RIW2,T85076,APN401
D05BLN,T78874,MGCD516
D0Z9LP,T30081,RP101
D03OSG,T36557,MBX-8025
D02CYL,T56365,MOR-208
D0GP1O,T17502,Emixustat
DO5H6K,T44771,OT-101
DOST52,T07485,MK-1654
DKH94Z,T54789,BIIB-088
D0C3CZ,T96144,Aldoxorubicin
D0JU5X,T03818,Bardoxolone methyl
D0KE1F,T21112,DFP-10917
DFY58O,T20017,RTB101
DFYL51,T40874,Ociperlimab
D0D7BX,T80975,Rivoceranib
D0A0MS,T06841,BI 655066
D0FM5M,T11451,IMO-2125
D0Y9HW,T23389,ISIS-TTR
D0CR8H,T59328,SYM-004
D07PQJ,T17687,ARQ-087
D09WNK,T85605,Fenfluramine
D0P9BT,T26203,Alicaforsen
D00LNW,T51407,Selinexor
D0FT4R,T22839,Sivelestat
D0L2UQ,T65755,Pracinostat
D0WL0Q,T54156,GS-5745
D08JIP,T67894,Rintatolimod
D00BMF,T34867,MK-4827
D0U3EP,T14731,Resveratrol
D0X6BX,T31989,ABC294640
D06FKC,T07806,Eltoprazine
D09AYM,T16340,MABp1
D07PML,T73215,Ublituximab + umbralisib
D08HWV,T59631,BGB-A317
DLOQ25,T99948,KN046
D9NL3R,T44141,Trebananib
DI4SM3,T22976,MT-1621
DZB84T,T24982,Maralixibat
DUTJ12,T25005,ICP-022
DQ5X1Z,T59328,Amivantamab
DT1FS0,T40874,AB154
DST04F,T47941,ARQ-151
DBND71,T51426,GS-9674
DWK96T,T59328,ASP1929
D2RTQ0,T60708,SB12
D1O9XQ,T60708,SKY59
DH3YK4,T60708,Zimura
D4HQ1F,T65883,Zolbetuximab
D0QNS3,T69494,REL-1017
DM8BN1,T73726,Otesaconazole
D9CI7V,T83797,Donaperminogene seltoplasmid
DWH79Q,T87374,LY-CoV555
D0G2IC,T93105,(S)-FLURBIPROFEN
D0C7AA,T65864,Ozagrel
D81KMY,T03513,Neupro
D7I9JH,T15776,Dichloroacetate
D63WMQ,T48873,Ingrezza
D07VFD,T84316,Mirogabalin
D0U2CV,T52624,Trapidil
D0O8GK,T59328,Osimertinib
D04WYX,T51282,Netarsudil
D03QRS,T12475,Triptorelin
D09SGV,T40555,Daclatasvir
D8L5PA,T56365,Loncastuximab tesirine
DGQU43,T59631,Dostarlimab
DU47SF,T10965,Crizanlizumab
D06NSS,T18477,Cromoglicate
D0V4TY,T30803,Oxidized glutathione
D0Q5XX,T60529,Eicosapentaenoic acid/docosa-hexaenoic acid
D0LJ8C,T05409,LCZ696
D0X7GL,T86192,Retigabine
D0W6KM,T42748,Dasotraline
D0IM6T,T56365,Tisagenlecleucel
D5DO9L,T96721,Brolucizumab
DE5N3K,T60182,Dasiglucagon
DD1GK8,T43658,Lumasiran
D00JRS,T89826,Lopinavir
D00QDJ,T99057,Trametinib
D03PUA,T99582,Siltuximab
D03RIX,T99582,Sirukumab
D03ZYQ,T99582,Olokizumab
D04AGG,T94918,Favipiravir
D04DTH,T94307,Emapalumab
D04FOP,T94471,Ravulizumab
D04GWO,T94514,Otilimab
D05JAC,T99041,Linagliptin
D05LLH,T94918,Penciclovir
D05ULR,T94879,Sildenafil
D05VYY,T99685,Rapamycin
D06CAC,T94918,Anidulafungin
D06CXL,T90048,Anakinra
D06DKU,T97729,Amiodarone
D06ECJ,T97729,Verapamil
D06VRI,T99009,Leflunomide
D06VSD,T98311,Captopril
D06ZVZ,T94131,Duvelisib
D07ALX,T99685,Sirolimus
D07FRV,T98311,Ramipril
D07JVU,T97982,Ciclosporin
D07TSV,T90038,Atorvastatin
D07XRU,T98278,Telmisartan
D08ABQ,T97719,Acalabrutinib
D08QLM,T86573,Merimepodib
D08SJT,T86513,Sarilumab
D08SPH,T94471,Eculizumab
D09ZSC,T99685,Everolimus
D0A3RP,T87554,Fedratinib
D0A6NU,T89039,Haloperidol
D0AL2K,T98278,Irbesartan
D0BK1N,T89736,Thioguanine
D0C5MT,T99834,Rintatolimod
D0CP8N,T86928,Silmitasertib
D0D1HH,T00216,Carvedilol
D0D1OG,T99685,Sapanisertib
D0D5FU,T98271,Baricitinib
D0D8RC,T86577,Metformin
D0DG0P,T18226,Triflupromazine
D0FT8G,T87325,PX-12
D0FX3U,T99993,Bevacizumab
D0I1PS,T99455,Dasatinib
D0J6GJ,T87325,SPI-1005
D0J9EI,T88015,Lopinavir + ritonavir
D0K6XI,T11562,Griffithsin
D0K8RK,T98092,Alisporivir
D0KG3Y,T99455,Imatinib
D0KH8Q,T87554,Ruxolitinib
D0O2WJ,T98278,Losartan
D0P4BC,T89736,Disulfiram
D0R8WT,T86513,Tocilizumab
D0SD1L,T89736,Mercaptopurine
D0UK3A,T99884,Hydroxychloroquine
D0VD1R,T94918,Suramin
D0VI8H,T02024,Ribavirin
D0W5WZ,T87325,Tideglusib
D0XS1W,T98311,Lisinopril
D0YN5T,T99149,Selumetinib
D0Z8EV,T18143,Mycophenolic acid
D0J7CD,T67894,Poly IC-poly arginine
D0QE9F,T95913,P-6915
D0LT4D,T33846,NI-1401
D01OHD,T60366,AMXT-1501
D04JSE,T97413,MK-7725
D0F4LI,T83193,LASSBio-881
D0JV8Q,T88304,XB-05
D0Z2UT,T83369,BNP-FIX
D07DTC,T92072,L-97-1 intravenous
D0EI7H,T16156,ThromboMer
D02SLV,T72168,CB-1922
D0H1UY,T59679,RQ-00000010
D02GNL,T83193,KMJ-372
D04BMR,T61744,AL-59640
D06QIW,T65197,EPO peptide mimetics
D0HM7G,T64765,SUVN-G1031
D0ZB2E,T48470,NV-07a
D0F5UO,T87024,KMS-88009
D03MTY,T59328,LA22-radioimmunoconjugates
D0Q2EH,T53585,Brutieridin
D03QAS,T09826,E-758
D02LQA,T68782,TTH 03-001
D00LDI,T17758,UPA-targeted oncolytic Sendai virus
D0O5CL,T17687,ARO 087
D00GLQ,T73215,2LM20-4
D06YYY,T51191,KAR-1880
D05KKF,T40954,NC-2500
D0YJ5H,T59604,EX-1311
D0UX4A,T37693,HU-433
D03LGX,T45593,NI-105
D07CNF,T98913,G-CSF
D0P4MA,T68766,2-MOE phosphorothioate gapmers
D0NH0U,T11211,HYG-440
D0E2MI,T51666,ARH-1029
D08OPW,T62449,ARRY-575
D0Z9BU,T97071,99mTc-EC-0652
D0M9SD,T53764,VA-119930
D0XH2N,T06955,RS-1748
D0AC7C,T59328,IPS-01003
D09CHX,T16691,AMR-SIX-1
D06BBF,T89697,BLV-0801
D04GCH,T59328,Bmab-200
D05YEL,T61744,CH-3697
D0N7HS,T10265,ASP-3258
D0L6PZ,T65197,PT-401
D0G1AK,T87023,UR-12510
D0E1YN,T75243,SB-2280
D0Q6ZQ,T87024,ELND-007
D00TYI,T42446,TG-3030
D03QJA,T96079,GSK-812397
D06UZS,T08298,VDA-1124
D03OMK,T01908,DM-107
D05SOW,T75243,SX-MTR1
D0G5JW,T65197,Erythropoietin
D0T7OS,T59328,AL-6802
D0U1DU,T93903,NVX-207
D07UBK,T51282,AS-1892802
D0O0BR,T67894,Poly-ICR
D0QI6W,T16156,Non-peptide TPO mimics
D09XGK,T11211,Testetrol
D0F4VK,T94033,TB-101
D06LRQ,T87024,TKP-1001
D07NWZ,T93878,CL-301
D0L2NV,T75440,U-89854
D0YZ1J,T00484,APG-2305
D0N3YL,T31391,ASC-201
D0NY1R,T36075,AC-3174
D0K6LA,T51666,OPC-22575
D0QA1M,T58992,MCP-203
D00AHV,T83011,SKL-PD
D0H2NH,T23547,BRIFENTANIL
D00UPU,T05849,RPR-107836
D05GIO,T16601,ICT-037
D06ECM,T02728,HBN-2
D07YAC,T87024,Anticalin
D0Y4ZI,T66665,Silicon-modified indomethacin
D0U4QQ,T86552,TNFcept
D01HGI,T75440,TGSC01AA(4)
D0S4BP,T65864,DP-802
D0B2JL,T79961,JWB-1-84-1
D07NEE,T58970,AEZS-131
D0K6ES,T83174,CRT-0004592
D00WHC,T91661,MB-03966
D0F3VI,T10191,CEL-1000
D02REM,T58992,DPI-221
D0Y1BF,T03346,APG-201
D04LGK,T62431,VRT-750018
D00LAA,T40000,VA-118020
D03BWQ,T17758,ATN-658
D0M1OU,T12119,XEN-907
D0Q5MC,T28887,PCI-34051
D0HY4Q,T53024,98mTc-CIM-ANT
D01SVG,T35486,KA-10X
D03QXD,T03500,RXP-470
D0NS9C,T82028,BIIB-513
D0F1WD,T46360,C-10068
D0A3XA,T46360,CNS-1169
D0P0DA,T31479,BM-162115
D04ZSZ,T09130,DS-AH-14
D00YNY,T86014,VPC-94075
D0D2GZ,T45593,AL-408
D0D0TQ,T74312,AKN-028
D0R2MQ,T00140,BW-858C
D0U2EF,T36059,ACN-1052
D0AH2V,T59328,RM-6427
D0T0VZ,T17569,XEN-D0104
D0CS6N,T75440,Benzodiazepine
D01NCC,T43332,Factor-VIIa-XTEN
D0P7HI,T52188,AC-8632
D08CEU,T84631,Recombinant Factor X
D09JET,T28722,NGD 96-3
D08HUB,T17163,ANG-2004
D0R4WT,T96079,NB-325
D06ACI,T30082,BZYX
D0EK9K,T25315,Sch-900875
D00PQS,T47768,NE-2
D07TPL,T94085,Ro-40-0655
D0K0LA,T93788,LC34AD3
D04LMJ,T30082,MMB-4
D06SYA,T16514,MT-061
D01SQP,T59328,HM-61713B
D04UYY,T70067,AD5-10
D0R3KS,T49049,DX-2500
D03IDK,T56418,CEP-18050
D0K0ZK,T99347,ADX-63365
D06YMT,T52316,PLX-ORI3
D0N5TB,T60631,ITRI-305
D07PWY,T01973,Anti-RON receptor mabs
D03HGW,T91331,AV-370
D0BP7C,T67684,J-104135
D07USR,T36557,SAVX-1
D0AC0A,T52921,SB-612111
D0GY3R,T89534,SERMs
D0L2VB,T34843,FE-203799
D07WAF,T16514,Anti-Fas mabs
D0UI0B,T48703,VTX-763
D0VY5O,T06273,A-620223
D0NH1E,T11754,Org-231295
D09ENF,T35474,PNT-300
D0M2AN,T23172,AD-412
D0O0LF,T36075,F-18 exendin-4 derivative PET tracers
D0K9HF,T73215,BLX-301
D0BV3B,T36483,SCH-602539
D0BS6B,T40474,TP-801
D01BEX,T03346,PRS-060
D0OX6I,T80896,KB-9520
D06MUB,T66505,SMOi2-17
D01EAG,T59679,MDDR 287569
D09PKZ,T66011,NM-9308
D0S5TT,T53389,ACE-435
D08YGD,T94033,Haempatch
D08MXB,T75797,NCX-125
D0M7EP,T08306,CD79-targeted immunotoxins
D0I4VX,T53389,DRP-049
D05SYO,T06273,KR-33889
D0YX8X,T83369,MG-1104
D0L9GR,T32060,Very low dose (VLD) cyclobenzaprine
D0Y5NT,T71054,VT-224
D0D7YR,T17163,AMPE4L
D0H9QN,T04361,AZ-TAK1
D0I5ND,T65200,CNX-010
D0HR5Q,T23003,CIP-137401
D0A7HY,T47164,TAT-120
D0R3DQ,T53378,SYL-040003
D04MLE,T87166,GKA-23
D0D2UA,T28330,2-NAP
D0H3FX,T59328,TGF alpha
D06VMV,T42446,BHF-177
D0WN1N,T70977,DM-204
D0D7XS,T14602,GPG-290
D0V4EX,T98913,AC-710
D0YZ0B,T26368,HT-2678
D01XHU,T12475,AN-207
D0Y0BZ,T03500,PUP-1
D03ZWR,T35486,APC-300
D00JZS,T47101,Anti-FGFR1 mab program
D08ZLL,T85435,Quick-acting insulin
D0J2GG,T51282,SR-3850
D05QIZ,T80896,GTx-822
D02AQM,T83011,VAR-10300
D0Y5BR,T40097,Phylomers
D0N0VW,T09826,IDN-5174
D09CTF,T14602,Human recombinant factor VIII
D04GDI,T76414,NP93-31
D03AVA,T89534,SNG-8033
D09WOY,T16156,SB-559457
D02QOL,T85435,XMetD
D0Y4TQ,T87024,VK-11
D0A7NI,T71446,LIM-5310
D00XNC,T33846,CAT-2200
D0X1YZ,T14231,KM-4056
D01AVF,T47101,SAR-106881
D0S3UH,T16691,SUVN-507
D0I1ZB,T92828,ENDG-4010
D0D6ZB,T40332,AX-9657
D00LWD,T59679,AF-3473
D05DRG,T75797,PDC-31
D0GB7F,T59328,ARX-AHD
D0EZ9C,T15000,CTLA-4-XTEN
D0C6TL,T17163,Leptin
D0JC4J,T11211,SARMs
D00YRF,T65864,UCB-1277763
D07GET,T76213,ALTU-236
D06ZAK,T51666,CA-50040
D02XNT,T89988,BMS-A
D0ND8N,T89034,Textilinin
D0T1DZ,T11211,EPI-001
D02ZMI,T28722,AA-29504
D01MNK,T70508,BS-194
D00YNJ,T59102,XB-387
D0H5TU,T18876,RQ-00000008
D0V6VQ,T23172,PF-956980
D0ED6E,T36075,CAM-2036
D0XG0Z,T85574,A-82186
D0XQ8A,T07663,TPN-729
D05SHQ,T97587,ASP-2002
D01OMY,T79961,BHT-3034
D0Q5II,T15784,G009
D03LCX,T10491,CCX-662
D0H4KF,T75243,EC-0565
D05APW,T83193,ABT-116
D03HLK,T46937,PRT-060096
D00LMY,T93788,RO-5212651
D0Y0WW,T00484,FM-303
D00SJN,T16601,HLL1-Fab-A3B3
D0QR3J,T84631,GC-2107
D0AA2X,T96788,PNT-500
D0K8PH,T16691,SUVN-504
D0TA3V,T47768,ADC-5510
D0U2DY,T60606,Recombinant TSH superagonists
D04TPS,T87024,A-887755
D0I6HJ,T74456,INC-106
D08GHI,T87024,18F-AV-45 dimer
D0K5QY,T92144,AP-101
D0M2JA,T32060,ACP-106
D0H4RV,T80896,NDC-1022
D01VOJ,T99347,RTI-4229-982
D0YF6L,T54644,KST-5468
D0R3OQ,T26623,BNV-222
D0S7CP,T87024,VK-12
D05BLG,T46360,MC-116
D03XRZ,T75243,PF-05094037
D0AD6Z,T40474,mab 224G11
D0T4LT,T13852,GSK-1842799C
D07OED,T17163,BL-5040
D04UYT,T82078,CBLB-612
D0G8BE,T17163,AMPPL
D0M7TT,T47077,IP-1200
D0Y1LD,T59328,RX-1792
D08VFX,T14602,Full-length Factor VIII molecule
D0S4OH,T73215,Anti-CD20 engineered toxin bodies
D06WYG,T64830,99mTc-MIP-1407
D09FWK,T56510,E-003
D0L1NU,T65864,PHA-666859
D0K3FG,T59328,EDP-13
D06SAT,T28722,HZ-166
D01UUW,T67952,Trecetilide fumarate
D02YNH,T83813,CP-809101
D00MCA,T22032,BB-PTH 1-84
D09OWC,T02703,SKLB-010
D0Q6GK,T49507,EphB4-131
D0TW1Q,T54644,DP-3005
D07KYZ,T42446,GABA-B receptor PAM
D0X6AU,T16514,FAS-031
D0OW5Y,T83011,NW-1772
D07OIZ,T80975,R-84
D09PDK,T83369,F-9TG
D0XC1F,T66665,CX-9051
D0O0II,T11211,ASC-JMZ1
D06SEA,T51565,CX-7000
D03PCP,T47768,NCT-400
D0YN9H,T85435,VVP-100X
D04HAA,T31309,WL-276
D09VFU,T13616,MST-400
D0SD3Q,T28722,GIDAZEPAM
D0A2MA,T85529,FR-104
D0C4BI,T59604,EX-1314
D04LHG,T47094,SP-SAP
D0T6TH,T64765,EVT-501
D08SZO,T86428,F-12458
D04JCT,T60213,AA-204
D0V4XA,T64765,ATH-90879
D06LAX,T97071,PGI-02749
D09PLZ,T93440,NI-1201
D02FTU,T68334,Recombinant follicle stimulating hormone
D0T8QY,T55689,PMI-008
D01FRK,T14602,LA-N8
D0Z9WP,T36075,ZP-3022
D0R3KN,T98022,MN-462
D0W9OW,T89988,RAP-310
D0LV7F,T72841,NCX-1047
D04DVA,T63934,HAp-IFN
D0N6QO,T40474,RP-1040
D02WGD,T95913,LOR-220
D0J0ZU,T47768,KIN-3031
D07ZDG,T87024,EDN-OL1
D0Q3WP,T37539,MEDI-553
D0R2HZ,T01777,ETHOXY-IDAZOXAN
D0N6KO,T72458,THIQ
D0M7NA,T83193,A-993610
D05OBK,T60182,DwLIP-GCGRrx
D04FFY,T83193,AMG-8563
D0P7VQ,T83193,BCTC
D0X5ZH,T40694,LC-445
D03BQD,T40694,NMS-1
D04JPQ,T87166,PSN-101
D0TU7G,T59679,SUVN-1004028
D0DK2X,T65864,GSK-280
D01WYV,T84397,Angiostatin/paclitaxel/carboplatin
D0Q2UW,T11451,DIMS-9054
D0W8GP,T40474,DP-3590
D0P8LR,T66383,HC3-1496
D0C5WK,T54128,LY-392098
D01QYQ,T86679,ATL-844
D0N7WB,T67162,CLR-151
D00LZY,T60213,AA-184
D0V9MG,T76369,KY-382
D0I2GT,T46482,TMX-30X
D0IW9Q,T97071,MDX-1147
D0T3KZ,T66665,TENOSAL
D0BR7M,T23714,Breceptin
D0SR3T,T34429,JN-711
D0L8YY,T52921,SR-14136
D02PKV,T43332,Human recombinant factor VIIa
D09PTP,T56418,CEP-28122
D01YGY,T28722,UC-1011
D0D0YK,T59328,GI-3000
D07KIB,T83011,4-fluoroselegiline
D0D2RR,T39677,TgBSSL
D00WPU,T88185,Sazetidine-A
D07QVY,T07400,DBT-066
D02JRD,T14557,VT-310
D0D1HR,T84703,TrkB NAM
D00RTU,T73215,227Th-rituximab
D07VOF,T86541,THA-904
D0V9MV,T07279,IDDBCP226234
D0V5LJ,T68290,JNJ-10329670
D0HK7G,T87024,DBT-1339
D0KC9V,T85435,AD10-1025
D05UAO,T97071,J591-Ac-225
D06QJG,T86528,PG-1014491
D0D9KV,T36075,SKL-18287
D08HTF,T34429,JNJ-1930942
D0V1QX,T50942,Axogenesis Factor-1
D0NX6F,T40474,BAY-85-3474
D0J0GJ,T65197,P-1116
D06MPJ,T55302,BD-NP
D0G6KH,T13852,NOX-S91
D05PTL,T28887,NMB-T-BMX-OS01
D0E5CX,T87024,Abloid
D04NVK,T81735,ShRNA molecule silencing DNAPK radiosensitizer
D0LP7W,T99347,GSK-2210875
D0K9PS,T10265,CHF-5480
D0G6RK,T51408,ER-23006
D00PLX,T51408,MystiLol
D04IPX,T56510,WEHI-0103122
D05RSS,T75243,PF-03772304
D0SZ8Q,T83813,CSC-500297
D07IZP,T96079,ND-401
D06MBR,T87024,ACI-636
D0YA6U,T00663,ELN-864709
D00YMN,T47768,AIKO-152
D0M7TW,T64765,PF-3900422
D0Q0GY,T61722,IW-1221
D0V6YT,T45993,SR-33805A
D0W7DP,T22977,TDI-0107
D01UPT,T83875,FA-70
D03LNM,T97388,TK-112690
D0G0AQ,T00484,ADC-1012
D02CWZ,T86836,AMBAZONE
D0FH8R,T31391,DB-160
D08RYN,T37693,RQ-00202730
D0IK1U,T72478,SEA-0400
D00DHM,T67162,SDZ-208911
D0T6NS,T69494,ACPC
D0AK4H,T80975,AMG-429
D0A9BO,T45758,PG-120
D00VSQ,T24983,E-1455
D0X8PD,T71192,XGP-510
D0U8EA,T47094,S-41744
D08AOV,T06273,INO-1002
D03EDD,T89041,VN/107-1
D05WKT,T31391,PK-44
D0W5HA,T02546,XEP-018
D0IR8J,T83904,INDUS-815C
D06EHW,T31902,IAI-100
D0E0UC,T60182,DSR-17759
D0I1TM,T69619,FP-1102
D04MYC,T14342,NSC-625487
D03NWC,T89534,SNG-8023
D0BK3Z,T36935,ProstaRex
D0M3AR,T60182,L-168049
D05ZLH,T94718,IMP-731
D0C4WY,T87024,SP-08
D0T5AH,T70176,PHA-690509
D0M4JK,T64765,UCB-2892
D0F4MI,T92076,TAK-075
D0AZ5O,T73476,LHD-4
D09ZUM,T43739,CR-4892
D00WVI,T93788,AS-1907417
D01NDN,T89534,SNG-8006
D0C5WE,T59328,AGT-2000
D05MEY,T59328,Epitinib
D06JQM,T61622,SPP-800
D07UZX,T50942,Nerve growth factor conjugated RAP peptide
D0N1DG,T14592,F61F12
D08BTX,T75243,X-387
D0W2SX,T99799,NP-0336
D04QXW,T87024,ARC-069
D01VNL,T28722,JM-1232(-)
D09QLR,T76685,Dibenzothiazepines
D05TXS,T76213,BMN-168
D0W8VC,T87024,PA-1637
D0T4ZW,T86350,MP-RM-1
D0B6DV,T86528,CT-10
D0Q3OM,T87166,SKL-19014
D0J0HV,T68290,VBY- 285
D0Q4EQ,T80975,JNJ-38158471
D06PVN,T38529,R-65
D0O1DS,T36075,[123I] iodobenzoyl 12-Ex4
D0L0LR,T22274,UCL-67022
D00EIL,T62431,CG-103065
D0S1HX,T61744,TAS-203
D08HZN,T90989,ABC-4
D0Q4XG,T83369,MOD-3012
D01ODC,T66011,TA-106
D0I5ZO,T69685,AS-1522489-00
D08RBS,T95913,WX-037
D0Q2XN,T87024,Turmeric extracts
D02DOK,T57943,SJ-8002
D00GLW,T81443,OM-294-DP
D0O8RL,T65200,EQ-1280
D06SRX,T37693,MDA-19
D0W9KE,T72850,AS-1708727
D02FBG,T28722,UC-2029
D0W1YZ,T89534,TSERaM
D09TDK,T92138,DPN-205-734
D0Q4AR,T36075,Glucagon-like peptide-1 analog
D0D1TX,T17758,Recombinant human pro-urokinase
D05QMQ,T40694,MLN-0905
D06HUH,T99799,Recombinant human butyrylcholinesterase
D0V4KL,T83011,VAR-10200
D0JY2K,T20251,NS-1643
D06PFK,T72841,TDT-044
D00ZFC,T53389,WilVent
D05APM,T06273,ANG-2684
D05GSI,T40474,LA-480
D0U1HE,T10670,PEGylated PYY-3-36
D00PBI,T16691,SUVN-501
